epoch: 76, train loss: 0.3614, train accuracy: 94.9%, valid accuracy: 32.0%, time: 2022-11-21 11:06:04
epoch: 77, train loss: 0.3519, train accuracy: 95.5%, valid accuracy: 33.0%, time: 2022-11-21 11:06:20
epoch: 78, train loss: 0.3312, train accuracy: 95.9%, valid accuracy: 32.0%, time: 2022-11-21 11:06:36
epoch: 79, train loss: 0.3223, train accuracy: 96.5%, valid accuracy: 32.0%, time: 2022-11-21 11:06:52
epoch: 80, train loss: 0.3119, train accuracy: 96.9%, valid accuracy: 35.0%, time: 2022-11-21 11:07:08
epoch: 81, train loss: 0.3016, train accuracy: 96.7%, valid accuracy: 33.0%, time: 2022-11-21 11:07:24
epoch: 82, train loss: 0.2958, train accuracy: 97.1%, valid accuracy: 36.0%, time: 2022-11-21 11:07:40
epoch: 83, train loss: 0.2954, train accuracy: 97.0%, valid accuracy: 38.0%, time: 2022-11-21 11:07:56
epoch: 84, train loss: 0.2815, train accuracy: 97.1%, valid accuracy: 34.0%, time: 2022-11-21 11:08:13
epoch: 85, train loss: 0.2739, train accuracy: 97.3%, valid accuracy: 34.0%, time: 2022-11-21 11:08:30
epoch: 86, train loss: 0.2788, train accuracy: 97.1%, valid accuracy: 34.0%, time: 2022-11-21 11:08:46
epoch: 87, train loss: 0.2656, train accuracy: 97.1%, valid accuracy: 38.0%, time: 2022-11-21 11:09:02
epoch: 88, train loss: 0.2623, train accuracy: 97.5%, valid accuracy: 33.0%, time: 2022-11-21 11:09:18
epoch: 89, train loss: 0.2372, train accuracy: 97.9%, valid accuracy: 36.0%, time: 2022-11-21 11:09:36
epoch: 90, train loss: 0.2429, train accuracy: 98.4%, valid accuracy: 33.0%, time: 2022-11-21 11:09:57
epoch: 91, train loss: 0.232, train accuracy: 97.7%, valid accuracy: 34.0%, time: 2022-11-21 11:10:15
epoch: 92, train loss: 0.2406, train accuracy: 98.2%, valid accuracy: 34.0%, time: 2022-11-21 11:10:34
epoch: 93, train loss: 0.2283, train accuracy: 98.5%, valid accuracy: 33.0%, time: 2022-11-21 11:10:53
epoch: 94, train loss: 0.2309, train accuracy: 98.3%, valid accuracy: 38.0%, time: 2022-11-21 11:11:10
epoch: 95, train loss: 0.2314, train accuracy: 97.6%, valid accuracy: 33.0%, time: 2022-11-21 11:11:28
epoch: 96, train loss: 0.2043, train accuracy: 98.7%, valid accuracy: 33.0%, time: 2022-11-21 11:11:44
epoch: 97, train loss: 0.2086, train accuracy: 98.5%, valid accuracy: 30.0%, time: 2022-11-21 11:12:00
epoch: 98, train loss: 0.1987, train accuracy: 98.4%, valid accuracy: 33.0%, time: 2022-11-21 11:12:16
epoch: 99, train loss: 0.2061, train accuracy: 98.4%, valid accuracy: 33.0%, time: 2022-11-21 11:12:32
